"","GSM1237722","GSM1237723","GSM1237724","GSM1237725","GSM1237726","GSM1237727","GSM1237728","GSM1237729","GSM1237730","GSM1237731","GSM1237732","GSM1237733"
"Ifit2",2.97801493193273,3.10296477475327,3.03882532368738,1.0693818970703,0.858197592573197,0.947130428954386,3.10055473670988,3.07283284441084,2.97251358824638,2.96487242923574,2.94737654201216,3.04916559461984
"Igf1",3.79492944512004,3.7332169710235,3.84935936965757,0.975382785516614,1.04836950632953,1.08798338634406,3.94798088603003,3.92774202575902,3.79073493723039,3.84149894976093,3.83873919639334,3.7833831111654
"Ighm",3.28730529649943,3.39916383855783,3.27091202925212,1.16216800081435,0.93316622970168,1.03992173946241,3.50780785539751,3.53672029946347,3.44484966064901,3.44167764890243,3.41834910948255,3.45403621387252
"Il1b",1.31637883158296,1.34148387472196,1.18039461226449,3.65339147489391,3.6096189970522,3.60809059763881,1.17158872512908,1.16052456669955,1.40567778261383,1.013038788807,1.11543339520796,1.06787748382889
"Il1r1",1.39240340184366,1.21531729901323,1.44348827923485,2.70933928261569,2.44577529293947,2.47067216635869,1.15433903252679,1.30212968549442,1.4590215205629,1.39023746594713,1.468324342704,1.27254240758124
"Il1r2",1.62382786357585,1.59248755633446,1.58355343525869,4.0201146522635,4.04559606920804,4.03372169238986,1.67096989787132,1.55859963515483,1.21892645454451,1.51967607713462,1.45042181116544,1.4389868588322
"Il4ra",1.93609676311989,2.21012195264911,2.13831977776432,3.06715291165571,3.26843441509697,3.25700921395267,2.29078450174778,2.14839143282731,1.89689974528988,2.11395033015435,2.0684627408829,1.93471392623732
"Acod1",3.18163486630103,3.22784461247102,3.17020726032721,3.299015879188,3.22739551059256,3.25919244244453,2.84836509284482,2.80874580871438,2.64871016534973,2.19478542338615,2.19470683183792,2.17887807073054
"Itga6",2.93630211782087,2.98617165074742,2.95637127541483,1.59062870154621,1.40515574254788,1.36146137575053,3.19895324796619,3.12162282125743,2.99680483161747,3.12722486925323,3.11865607634472,3.10314175330915
"Itgal",1.54801273485895,1.32765565989562,1.41400923797024,2.46533800389261,2.67284710194514,2.78171518053733,1.55590713049433,1.23069342797806,1.39397826956787,1.13829350904113,1.21116585966602,1.09158632411111
